[2016-06-03 11:55:08] EDIT sctest/views/default/index.html: 0
[2016-06-03 11:55:24] EDIT sctest/views/default/index.html: 0
[2016-06-03 11:56:52] EDIT sctest/views/default/index.html: 0
[2016-06-03 11:58:10] EDIT sctest/views/default/index.html: -2
[2016-06-03 11:58:27] EDIT sctest/views/default/index.html: 0
[2016-06-03 12:03:35] EDIT sctest/views/default/index.html: 0
[2016-06-03 12:04:15] EDIT sctest/views/default/index.html: 2
[2016-06-03 12:04:41] EDIT sctest/views/default/index.html: -2
[2016-06-03 13:06:06] EDIT sctest/views/default/index.html: 0
[2016-06-03 13:06:55] EDIT sctest/views/default/index.html: 5
[2016-06-03 13:09:41] EDIT sctest/views/default/index.html: 2
[2016-06-03 13:10:27] EDIT sctest/views/default/index.html: 0
[2016-06-03 13:10:58] EDIT sctest/views/default/index.html: 0
[2016-06-03 13:12:36] EDIT sctest/views/default/index.html: 0
[2016-06-03 13:12:52] EDIT sctest/views/default/index.html: 5
[2016-06-03 13:13:29] EDIT sctest/views/default/index.html: -10
[2016-06-03 13:13:32] EDIT sctest/controllers/default.py: 0
[2016-06-03 13:13:35] EDIT sctest/views/default/index.html: 0
[2016-06-03 13:13:58] EDIT sctest/views/default/index.html: -2
[2016-06-03 13:17:14] EDIT sctest/views/default/index.html: 4
[2016-06-03 13:18:11] EDIT sctest/views/default/index.html: 4
[2016-06-03 13:18:36] EDIT sctest/views/default/index.html: 0
[2016-06-03 13:18:40] EDIT sctest/views/default/index.html: 0
[2016-06-03 13:21:10] EDIT sctest/views/default/index.html: -4
[2016-06-03 13:22:06] EDIT sctest/views/default/index.html: 6
[2016-06-03 13:22:48] EDIT sctest/views/default/index.html: 0
[2016-06-03 13:23:52] EDIT sctest/views/default/index.html: 6
[2016-06-03 13:25:00] EDIT sctest/views/default/index.html: -8
[2016-06-03 13:25:49] EDIT sctest/views/default/index.html: 8
[2016-06-03 13:26:20] EDIT sctest/views/default/index.html: 1
[2016-06-03 13:26:59] EDIT sctest/views/default/index.html: 1
[2016-06-03 13:27:27] EDIT sctest/views/default/index.html: 0
[2016-06-03 13:27:47] EDIT sctest/views/default/index.html: 0
[2016-06-03 13:27:53] EDIT sctest/views/default/index.html: 0
[2016-06-03 13:27:56] EDIT sctest/views/default/index.html: 0
[2016-06-03 13:28:32] EDIT sctest/views/default/index.html: 0
[2016-06-03 13:31:05] EDIT sctest/views/default/index.html: 0
[2016-06-03 13:33:06] EDIT sctest/views/default/index.html: 0
[2016-06-03 13:33:28] EDIT sctest/views/default/index.html: 0
[2016-06-03 13:34:05] EDIT sctest/views/default/index.html: 0
[2016-06-03 13:35:00] EDIT sctest/views/default/index.html: 0
[2016-06-03 13:36:49] EDIT sctest/controllers/default.py: -1
[2016-06-03 13:37:52] EDIT sctest/controllers/default.py: 6
[2016-06-03 13:38:13] EDIT sctest/controllers/default.py: 2
[2016-06-03 13:38:20] EDIT sctest/controllers/default.py: 0
[2016-06-03 13:38:22] EDIT sctest/controllers/default.py: 0
[2016-06-03 13:39:32] EDIT sctest/controllers/default.py: 0
[2016-06-03 13:40:37] EDIT sctest/controllers/default.py: 4
[2016-06-03 13:41:00] EDIT sctest/controllers/default.py: 4
[2016-06-03 13:41:10] EDIT sctest/controllers/default.py: 0
[2016-06-03 13:42:21] EDIT sctest/controllers/default.py: 2
[2016-06-03 13:43:10] EDIT sctest/views/default/index.html: 3
[2016-06-03 13:44:03] EDIT sctest/views/default/index.html: 0
[2016-06-03 13:45:22] EDIT sctest/views/default/index.html: 0
[2016-06-03 13:46:21] EDIT sctest/views/default/index.html: -1
[2016-11-20 07:50:54] EDIT domotica/models/roll.py: -1
[2016-11-20 07:54:55] EDIT domotica/models/roll.py: 1
[2016-11-20 07:56:53] EDIT domotica/models/roll.py: 0
[2016-11-20 08:16:49] EDIT domotica/models/roll.py: 0
[2016-11-20 08:17:49] EDIT domotica/models/roll.py: 0
[2016-11-20 08:30:39] EDIT domotica/models/roll.py: 1
[2016-11-20 08:31:45] EDIT domotica/models/roll.py: 0
[2016-11-20 08:32:49] EDIT domotica/models/roll.py: -1
[2016-11-20 08:34:28] EDIT domotica/models/roll.py: 4
[2016-11-20 08:35:19] EDIT domotica/models/roll.py: 0
[2016-11-20 08:36:55] EDIT domotica/controllers/default.py: 0
[2016-11-20 08:39:25] EDIT domotica/controllers/default.py: 0
[2016-11-20 08:45:53] EDIT domotica/controllers/default.py: 0
[2016-11-20 08:47:12] EDIT domotica/controllers/default.py: 0
[2016-11-20 08:47:23] EDIT domotica/controllers/default.py: 0
[2016-11-20 08:47:57] EDIT domotica/controllers/default.py: 0
[2016-11-20 08:49:04] EDIT domotica/controllers/default.py: 0
[2016-11-20 08:51:02] EDIT domotica/controllers/default.py: 0
[2016-11-20 08:51:26] EDIT domotica/controllers/default.py: 0
[2016-11-20 08:52:08] EDIT domotica/controllers/default.py: 0
[2016-11-20 08:52:21] EDIT domotica/controllers/default.py: 0
[2016-11-20 08:53:04] EDIT domotica/controllers/default.py: 0
[2016-11-20 08:53:41] EDIT domotica/controllers/default.py: 0
[2016-11-20 08:53:43] EDIT domotica/controllers/default.py: 0
[2016-11-20 08:54:03] EDIT domotica/controllers/default.py: 0
[2016-11-20 08:54:27] EDIT domotica/controllers/default.py: 0
[2016-11-20 08:54:40] EDIT domotica/controllers/default.py: 0
[2016-11-20 08:55:09] EDIT domotica/controllers/default.py: -15
[2016-11-20 08:55:22] EDIT domotica/controllers/default.py: -3
[2016-11-20 08:55:36] EDIT domotica/controllers/default.py: 0
[2016-11-20 08:55:44] EDIT domotica/controllers/default.py: 0
[2016-11-20 08:56:03] EDIT domotica/controllers/default.py: 2
[2016-11-20 08:56:23] EDIT domotica/controllers/default.py: -7
